PubMed_ID,Month,Count
"2829380,3920216,4226004",1967-05-01,1.0
11947697,1970-08-01,1.0
"5503857,15503857",1970-09-01,1.0
4924231,1971-02-01,1.0
"1587806,1644835,3104518,4335615,10026251,10222237,15654758",1972-02-01,1.0
4403130,1972-07-01,1.0
4595808,1974-01-01,0.08333333333333333
4595808,1974-02-01,0.08333333333333333
4595808,1974-03-01,0.08333333333333333
4595808,1974-04-01,0.08333333333333333
4595808,1974-05-01,0.08333333333333333
4595808,1974-06-01,0.08333333333333333
4595808,1974-07-01,0.08333333333333333
4595808,1974-08-01,0.08333333333333333
"955567,992566,4138920,7236608,10917521,11297532,12527303",1974-08-01,1.0
4595808,1974-09-01,0.08333333333333333
4595808,1974-10-01,0.08333333333333333
4595808,1974-11-01,0.08333333333333333
4595808,1974-12-01,0.08333333333333333
"1189126,15533940",1975-01-01,0.08333333333333333
"1189126,11889126,15533940",1975-01-01,0.08333333333333333
123121,1975-01-01,1.0
123234,1975-01-01,1.0
"1189126,11889126,15533940",1975-02-01,0.08333333333333333
"1189126,15533940",1975-02-01,0.08333333333333333
"1189126,11889126,15533940",1975-03-01,0.08333333333333333
"1189126,15533940",1975-03-01,0.08333333333333333
"1189126,11889126,15533940",1975-04-01,0.08333333333333333
"1189126,15533940",1975-04-01,0.08333333333333333
"1189126,15533940",1975-05-01,0.08333333333333333
"1189126,11889126,15533940",1975-05-01,0.08333333333333333
"807467,11027527,15247290",1975-06-01,1.0
"1189126,15533940",1975-06-01,0.08333333333333333
"1189126,11889126,15533940",1975-06-01,0.08333333333333333
"1189126,15533940",1975-07-01,0.08333333333333333
"1164178,11306563,15037601|15037601",1975-07-01,1.0
"1189126,11889126,15533940",1975-07-01,0.08333333333333333
"1159819,11598191",1975-08-01,1.0
"1189126,11889126,15533940",1975-08-01,0.08333333333333333
"1189126,15533940",1975-08-01,0.08333333333333333
"1189126,15533940",1975-09-01,0.08333333333333333
"1189126,11889126,15533940",1975-09-01,0.08333333333333333
"1189126,15533940",1975-10-01,0.08333333333333333
"1189126,11889126,15533940",1975-10-01,0.08333333333333333
"1189126,15533940",1975-11-01,0.08333333333333333
"82,119942,7642581,8621719,9535867,9890970,10092522,10799548,11239464",1975-11-01,1.0
"1189126,11889126,15533940",1975-11-01,0.08333333333333333
"172504,2536708,2611225,2708337,7922031,8202136,9578495,10373373",1975-12-01,1.0
"1189126,15533940",1975-12-01,0.08333333333333333
"1189126,11889126,15533940",1975-12-01,0.08333333333333333
1248321,1976-01-01,0.08333333333333333
1248321,1976-02-01,0.08333333333333333
1248321,1976-03-01,0.08333333333333333
1248321,1976-04-01,0.08333333333333333
"4442,18197,1978610,6112969,7816801,8827453",1976-04-01,1.0
1248321,1976-05-01,0.08333333333333333
1262038,1976-05-01,1.0
1248321,1976-06-01,0.08333333333333333
1248321,1976-07-01,0.08333333333333333
1248321,1976-08-01,0.08333333333333333
934235,1976-08-01,1.0
